date,ticker,open,high,close,volume,avg_vol,rvol,gap_pct,gain_pct,close_pct,dumped,rank
2025-11-06,RAVE,2.6,3.13,2.83,178900,48575,3.7,4.8,20.4,8.8,False,watch
2025-11-06,HPNN,0.0,0.0,0.0,7845800,20270070,0.4,-16.7,20.0,0.0,True,avoid
2025-11-06,ITP,0.25,0.3,0.26,4512300,7758735,0.6,0.0,20.0,4.0,True,avoid
2025-11-07,BBIG,0.0,0.0,0.0,1029,5399,0.2,-28.6,100.0,100.0,False,avoid
2025-11-07,MTC,2.28,3.48,2.58,29936500,23765950,1.3,-17.7,52.6,13.2,True,avoid
2025-11-07,MITI,0.11,0.16,0.16,123400,66080,1.9,-21.4,45.5,45.5,False,avoid
2025-11-07,AHMA,4.47,5.67,5.07,1031200,0,0,4.9,26.8,13.4,False,avoid
2025-11-07,PMNT,0.4,0.5,0.48,356100,135155,2.6,-2.4,25.5,19.2,False,avoid
2025-11-07,LMFA,1.03,1.28,1.26,1785200,1866275,1.0,-2.8,24.3,22.3,False,avoid
2025-11-07,SBTU,12.78,15.87,15.29,63000,0,0,-5.5,24.2,19.6,False,avoid
2025-11-07,JAGX,1.7,2.1,1.78,416600,81530,5.1,0.0,23.5,4.7,True,watch
2025-11-07,MOBQ,1.58,1.94,1.76,85200,23635,3.6,0.6,22.8,11.4,False,watch
2025-11-07,HPNN,0.0,0.0,0.0,15348506,20346380,0.8,-10.0,22.2,22.2,False,avoid
2025-11-07,HYPD,5.36,6.48,6.44,441900,557025,0.8,-5.5,20.9,20.1,False,avoid
2025-11-07,BYND,1.18,1.42,1.39,143987700,501354305,0.3,-0.8,20.3,17.8,False,avoid
2025-11-07,FOFO,11.92,14.31,13.88,179700,111670,1.6,1.5,20.1,16.4,False,avoid
2025-11-07,ILUS,0.0,0.0,0.0,668500,1111635,0.6,-16.7,20.0,20.0,False,avoid
2025-11-10,BBIG,0.01,0.03,0.02,17611,5395,3.3,900.0,200.0,98.0,True,watch
2025-11-10,IPW,9.79,14.36,10.14,119900,33250,3.6,0.5,46.7,3.6,True,watch
2025-11-10,ZONE,0.47,0.6,0.52,40545800,1943155,20.9,-44.7,27.7,10.6,True,avoid
2025-11-10,IPHA,1.95,2.42,2.3,10592800,25235,419.8,9.9,24.4,17.9,False,hot
2025-11-10,SOAR,1.27,1.54,1.31,1384192,2070888,0.7,2.1,21.0,2.8,True,avoid
2025-11-11,BBIG,0.0,0.0,0.0,3859,6063,0.6,-96.5,185.7,185.7,False,avoid
2025-11-11,MTC,2.21,3.39,2.41,16724000,25439415,0.7,-6.8,53.4,9.0,True,avoid
2025-11-11,ENGN,8.55,11.14,8.82,51454300,273290,188.3,42.3,30.3,3.2,True,hot
2025-11-11,CTW,2.49,3.14,2.93,4193200,44965,93.3,0.4,26.1,17.7,False,hot
2025-11-11,ASRT,11.85,14.25,13.8,299740,19511,15.4,-1.2,20.3,16.5,False,warm
2025-11-11,KMRK,0.9,1.08,1.02,58000,650150,0.1,-3.2,20.0,13.3,False,avoid
2025-11-12,BBIG,0.0,0.0,0.0,4081,5552,0.7,-75.0,500.0,500.0,False,avoid
2025-11-12,ENGS,1.12,1.56,1.33,1475200,1109850,1.3,-0.9,39.3,18.3,True,avoid
2025-11-12,BAIG,14.5,18.98,18.08,2121900,659665,3.2,9.2,30.9,24.7,False,watch
2025-11-12,NDRA,5.6,6.88,6.26,121000,93825,1.3,2.8,22.9,11.8,False,avoid
2025-11-12,GNPX,4.15,5.0,4.6,770800,1762628,0.4,2.5,20.5,10.8,False,avoid
2025-11-12,ILUS,0.0,0.0,0.0,1997775,1145235,1.7,-16.7,20.0,0.0,True,avoid
2025-11-13,BBIG,0.0,0.0,0.0,1291,5511,0.2,-76.7,185.7,185.7,False,avoid
2025-11-13,CMND,16.48,25.96,13.84,7465290,92575,80.6,32.9,57.5,-16.0,True,hot
2025-11-13,ENGS,1.32,1.98,1.62,2809600,1165060,2.4,-0.4,50.0,22.7,True,avoid
2025-11-13,SGLY,0.56,0.8,0.71,1122100,107360,10.5,-3.4,42.9,26.8,True,watch
2025-11-13,ASBP,3.76,4.8,4.2,625243,460558,1.4,-12.1,27.7,11.7,True,avoid
2025-11-13,MITI,0.12,0.15,0.15,163200,60765,2.7,-14.3,25.0,25.0,False,avoid
2025-11-13,TRUG,16.8,20.9,19.0,311290,19352,16.1,5.0,24.4,13.1,False,warm
2025-11-13,MTC,2.35,2.87,2.53,2205600,26338985,0.1,-4.5,22.1,7.7,False,avoid
2025-11-14,TRAW,1.75,2.78,2.17,8122200,145400,55.9,-1.1,58.9,24.0,True,hot
2025-11-14,SGLY,0.6,0.85,0.77,734100,153830,4.8,-15.5,41.7,28.3,False,watch
2025-11-14,NPWR,2.24,3.01,2.82,2535400,1934995,1.3,-23.9,33.9,25.6,False,avoid
2025-11-14,BYND,0.94,1.23,1.08,129603600,499933055,0.3,-7.3,31.4,15.4,True,avoid
2025-11-14,ENGS,1.7,2.23,1.71,2177000,1301960,1.7,4.9,31.2,0.6,True,avoid
2025-11-14,HYPD,4.09,5.34,5.01,299100,462510,0.6,-17.7,30.6,22.5,False,avoid
2025-11-14,WGRX,0.53,0.69,0.65,2728500,42660855,0.1,-3.6,30.2,21.9,False,avoid
2025-11-14,YDES,10.35,13.45,12.25,178300,75495,2.4,2.3,30.0,18.4,False,avoid
2025-11-14,PMNT,0.4,0.5,0.49,1066100,387995,2.7,-10.0,26.3,23.5,False,avoid
2025-11-14,GLXU,14.6,18.27,16.16,319900,268110,1.2,-15.7,25.1,10.6,False,avoid
2025-11-14,PONX,14.74,18.42,17.32,36200,46615,0.8,-12.1,25.0,17.5,False,avoid
2025-11-14,PN,13.8,16.96,15.9,11455,1475,7.8,-3.8,22.9,15.2,False,watch
2025-11-14,ALXO,1.2,1.47,1.38,826000,369330,2.2,-1.6,22.5,15.0,False,avoid
2025-11-14,SHMD,4.93,6.02,5.49,580900,658245,0.9,0.2,22.1,11.4,False,avoid
2025-11-17,ICG,1.09,1.54,1.39,2069000,323380,6.4,3.8,41.3,27.5,False,watch
2025-11-17,BACK,0.05,0.07,0.07,700,9180,0.1,0.0,38.0,38.0,False,avoid
2025-11-17,DGNX,11.64,14.6,13.59,1501100,871475,1.7,10.5,25.4,16.8,False,avoid
2025-11-18,WKHS,6.71,10.31,9.11,1548683,102780,15.1,1.5,53.7,35.8,True,warm
2025-11-18,PN,14.2,21.0,16.24,44695,2873,15.6,-5.3,47.9,14.4,True,warm
2025-11-18,BBIG,0.0,0.0,0.0,1222,5328,0.2,0.0,40.0,0.0,True,avoid
2025-11-18,BGMS,1.19,1.63,1.34,451900,820780,0.6,-1.7,37.0,12.6,True,avoid
2025-11-18,BACK,0.05,0.07,0.05,16800,9215,1.8,-26.1,33.3,2.0,True,avoid
2025-11-18,LIMN,1.03,1.3,1.11,319600,375290,0.9,-2.8,26.2,7.8,True,avoid
2025-11-18,BAIG,10.29,12.91,12.0,960200,716415,1.3,-2.3,25.5,16.6,False,avoid
2025-11-18,BTCS,2.45,3.06,3.0,3272500,1602665,2.0,-3.9,24.9,22.4,False,avoid
2025-11-18,ZSPC,0.67,0.83,0.78,5355700,555665,9.6,0.9,24.6,16.7,False,watch
2025-11-18,MAMO,3.61,4.48,3.81,337700,29430,11.5,3.1,24.1,5.5,True,watch
2025-11-18,NOTV,0.72,0.89,0.86,11691600,926200,12.6,4.3,23.6,19.4,False,watch
2025-11-18,MNTS,11.61,14.29,12.77,101153,72692,1.4,-1.1,23.1,10.0,False,avoid
2025-11-18,CTW,2.24,2.75,2.46,300100,285645,1.1,-0.4,22.8,9.8,False,avoid
2025-11-18,LNAI,0.98,1.2,1.16,897900,9034035,0.1,-4.9,22.4,18.4,False,avoid
2025-11-18,HYPD,4.27,5.14,4.97,374700,455850,0.8,0.5,20.4,16.4,False,avoid
2025-11-18,HPNN,0.0,0.0,0.0,617759,23301240,0.0,-16.7,20.0,0.0,True,avoid
2025-11-19,BBIG,0.0,0.0,0.0,1139,5309,0.2,40.0,328.6,328.6,False,avoid
2025-11-19,HXHX,0.57,0.89,0.79,4701600,260255,18.1,2.7,55.3,37.5,True,warm
2025-11-19,MITI,0.09,0.13,0.13,67700,70000,1.0,-18.2,44.4,44.4,False,avoid
2025-11-19,LNAI,1.15,1.53,1.5,1486900,9075330,0.2,-0.9,33.0,30.4,False,avoid
2025-11-19,FBLG,5.84,7.1,6.9,144565,47727,3.0,-11.5,21.6,18.2,False,watch
2025-11-19,FCHL,5.1,6.15,5.25,96100,24621,3.9,1.5,20.6,2.9,True,watch
2025-11-20,ILUS,0.0,0.0,0.0,626609,776264,0.8,-40.0,66.7,66.7,False,avoid
2025-11-20,VSA,9.05,15.0,13.95,561168,107354,5.2,3.4,65.7,54.1,False,watch
2025-11-20,WKHS,8.64,12.36,11.22,2373608,184907,12.8,-1.2,43.1,29.9,False,watch
2025-11-20,BBIG,0.0,0.0,0.0,5627,5299,1.1,0.0,33.3,33.3,False,avoid
2025-11-20,MSTZ,11.88,14.65,13.87,35409700,21541445,1.6,-5.6,23.3,16.8,False,avoid
2025-11-20,SCLX,17.72,21.3,18.95,383700,139320,2.8,3.1,20.2,6.9,False,avoid
2025-11-21,MIMI,0.34,0.57,0.44,10690000,1404200,7.6,-7.9,67.6,29.4,True,watch
2025-11-21,SCLX,18.72,27.0,22.51,500800,152305,3.3,-1.2,44.2,20.2,True,watch
2025-11-21,NCPL,0.72,0.95,0.83,1422300,182905,7.8,4.2,32.0,15.0,True,watch
2025-11-21,BACK,0.05,0.07,0.07,17300,10125,1.7,0.0,28.8,28.8,False,avoid
2025-11-21,NNOX,3.53,4.47,4.36,12914200,1530250,8.4,2.3,26.8,23.5,False,watch
2025-11-21,TRUG,9.56,12.0,10.9,63340,64658,1.0,-2.8,25.5,14.0,False,avoid
2025-11-21,MRAI,0.76,0.95,0.89,8100,21040,0.4,14.8,24.7,17.6,False,avoid
2025-11-21,TTRX,2.71,3.36,3.27,146500,117305,1.2,0.0,24.0,20.7,False,avoid
2025-11-21,ONFO,0.65,0.8,0.73,519600,1577325,0.3,-1.1,23.7,11.5,False,avoid
2025-11-21,AGAE,0.37,0.45,0.36,1791500,284960,6.3,-0.3,23.4,-2.7,True,watch
2025-11-21,CPOP,0.39,0.48,0.46,165400,759845,0.2,-4.6,22.8,17.9,False,avoid
2025-11-21,MTC,2.06,2.5,2.31,442100,26707810,0.0,-2.4,21.4,12.1,False,avoid
2025-11-21,ILUS,0.0,0.0,0.0,903770,778031,1.2,0.0,20.0,0.0,True,avoid
2025-11-24,BBIG,0.0,0.0,0.0,3675,5713,0.6,-87.5,700.0,700.0,False,avoid
2025-11-24,SBEV,0.8,1.67,1.18,47176400,406605,116.0,3.8,108.7,47.5,True,hot
2025-11-24,MIMI,0.47,0.69,0.55,11962300,1931660,6.2,6.8,46.6,17.9,True,watch
2025-11-24,LIMN,0.73,0.99,0.84,898300,441250,2.0,1.1,35.5,16.0,True,avoid
2025-11-24,BMNG,3.73,4.91,4.82,2041100,523345,3.9,7.2,31.6,29.2,False,watch
2025-11-24,ISPC,0.39,0.51,0.48,468200,183630,2.5,-9.2,31.3,25.1,False,avoid
2025-11-24,MITI,0.11,0.14,0.13,28300,64100,0.4,-21.4,27.3,18.2,False,avoid
2025-11-24,BAIG,10.16,12.86,12.85,750800,807950,0.9,4.4,26.5,26.4,False,avoid
2025-11-24,DFNS,4.41,5.54,5.26,1766100,1080570,1.6,2.1,25.7,19.3,False,avoid
2025-11-24,AHMA,5.19,6.5,6.24,183700,224115,0.8,2.8,25.3,20.3,False,avoid
2025-11-24,ZONE,0.33,0.41,0.38,9725600,7225290,1.3,5.1,23.6,13.6,False,avoid
2025-11-24,HXHX,0.51,0.63,0.62,311300,546875,0.6,0.0,22.3,20.2,False,avoid
2025-11-24,RMSG,1.63,1.98,1.74,77800,17070,4.6,3.2,21.5,6.7,False,watch
2025-11-25,NVOS,0.0,0.0,0.0,2848,5541,0.5,0.0,900.0,900.0,False,avoid
2025-11-25,NPT,3.73,4.9,4.47,110300,85345,1.3,-0.9,31.2,19.7,False,avoid
2025-11-25,DFNS,5.38,6.99,6.29,8902900,1058935,8.4,2.3,29.9,16.9,False,watch
2025-11-25,MITQ,0.6,0.73,0.73,152200,66035,2.3,-1.5,21.1,20.6,False,avoid
2025-11-26,YXT,0.59,1.0,0.6,2279800,23475,97.1,4.6,69.5,0.8,True,hot
2025-11-26,BACK,0.05,0.08,0.08,3200,10385,0.3,2.0,56.9,56.9,False,avoid
2025-11-26,SBEV,0.91,1.38,1.32,1410100,2839920,0.5,-10.8,51.6,45.1,False,avoid
2025-11-26,KALA,0.8,1.14,0.91,31687100,309070,102.5,24.9,43.0,14.2,True,hot
2025-11-26,HPNN,0.0,0.0,0.0,3237200,22599103,0.1,-16.7,40.0,20.0,True,avoid
2025-11-26,MITI,0.1,0.14,0.13,32700,57130,0.6,-28.6,40.0,30.0,False,avoid
2025-11-26,LNAI,0.98,1.32,1.29,3164600,11523275,0.3,-9.3,34.7,31.6,False,avoid
2025-11-26,TOVX,0.2,0.26,0.26,2164400,3273640,0.7,-16.7,30.0,30.0,False,avoid
2025-11-26,GCTK,5.16,6.7,6.36,47600,20630,2.3,0.3,29.6,23.1,False,avoid
2025-11-26,WAI,2.34,2.95,2.56,60900,312950,0.2,7.3,26.1,9.4,True,avoid
2025-11-26,NPT,4.63,5.83,5.47,83900,85450,1.0,3.6,25.9,18.1,False,avoid
2025-11-26,ILUS,0.0,0.0,0.0,84928,740178,0.1,-20.0,25.0,25.0,False,avoid
2025-11-26,SBLX,3.29,4.04,3.53,160900,81985,2.0,3.5,22.8,7.3,True,avoid
2025-11-26,BYND,0.87,1.05,1.02,172661300,111002550,1.6,1.3,21.0,17.5,False,avoid
2025-11-28,ISPC,0.51,0.69,0.42,5157100,184875,27.9,5.2,34.8,-17.5,True,warm
2025-11-28,SLNH,1.55,1.94,1.71,8072000,5721820,1.4,0.6,25.2,10.3,False,avoid
2025-11-28,OWLS,7.24,8.75,8.25,154900,64345,2.4,1.8,20.9,14.0,False,avoid
2025-12-01,BBIG,0.0,0.0,0.0,5120,5425,0.9,-87.5,500.0,500.0,False,avoid
2025-12-01,NVOS,0.0,0.0,0.0,1705,4893,0.3,-80.0,450.0,450.0,False,avoid
2025-12-01,AHMA,10.55,17.34,14.34,45915300,153115,299.9,119.3,64.4,35.9,True,hot
2025-12-01,BYND,0.95,1.48,1.34,270280300,104282210,2.6,-2.7,55.0,40.3,False,avoid
2025-12-01,QTTB,4.25,6.37,3.82,168133500,69540,2417.8,94.1,49.9,-10.1,True,hot
2025-12-01,KALA,1.3,1.91,1.33,169816900,2075405,81.8,34.6,46.9,2.3,True,hot
2025-12-01,YXT,0.6,0.87,0.83,533700,139555,3.8,-6.2,44.8,37.7,False,watch
2025-12-01,NCPL,0.91,1.26,1.19,889100,285800,3.1,-0.7,37.9,30.2,False,watch
2025-12-01,KMRK,1.1,1.46,1.4,341200,31885,10.7,1.1,32.7,27.3,False,watch
2025-12-01,ILUS,0.0,0.0,0.0,1199688,668002,1.8,0.0,25.0,25.0,False,avoid
2025-12-02,NVOS,0.0,0.0,0.0,7589,4978,1.5,-72.7,600.0,600.0,False,avoid
